----                     	12   	(null)         	(null)    	<termPrime>              	no    	<highPrecedenceOperators>
*                        	12   	TK_MUL         	(null)    	<highPrecedenceOperators>	yes   	(null)
----                     	12   	(null)         	(null)    	<termPrime>              	no    	<factor>
----                     	12   	(null)         	(null)    	<factor>                 	no    	<var>
c3                       	12   	TK_ID          	(null)    	<singleOrRecId>          	yes   	(null)
----                     	12   	(null)         	(null)    	<var>                    	no    	<singleOrRecId>
----                     	12   	(null)         	(null)    	<singleOrRecId>          	no    	<SorRecHelper>
----                     	12   	(null)         	(null)    	<term>                   	no    	<termPrime>
----                     	12   	(null)         	(null)    	<termPrime>              	no    	<termPrime>
----                     	12   	(null)         	(null)    	<arithmeticExpression>   	no    	<expPrime>
----                     	12   	(null)         	(null)    	<expPrime>               	no    	<expPrime>
----                     	12   	(null)         	(null)    	<stmt>                   	no    	<assignmentStmt>
c4bbb                    	12   	TK_ID          	(null)    	<assignmentStmt>         	yes   	(null)
----                     	11   	(null)         	(null)    	<otherStmts>             	no    	<otherStmts>
----                     	13   	(null)         	(null)    	<otherStmts>             	no    	<stmt>
if                       	13   	TK_IF          	(null)    	<conditionalStmt>        	yes   	(null)
if                       	13   	TK_IF          	(null)    	<conditionalStmt>        	yes   	(null)
(                        	13   	TK_OP          	(null)    	<booleanExpression>      	yes   	(null)
~                        	13   	TK_NOT         	(null)    	<booleanExpression>      	yes   	(null)
~                        	13   	TK_NOT         	(null)    	<booleanExpression>      	yes   	(null)
----                     	13   	(null)         	(null)    	<booleanExpression>      	no    	<var>
c4bbb                    	13   	TK_ID          	(null)    	<singleOrRecId>          	yes   	(null)
----                     	13   	(null)         	(null)    	<var>                    	no    	<singleOrRecId>
----                     	13   	(null)         	(null)    	<singleOrRecId>          	no    	<SorRecHelper>
----                     	13   	(null)         	(null)    	<booleanExpression>      	no    	<relationalOp>
==                       	13   	TK_EQ          	(null)    	<relationalOp>           	yes   	(null)
----                     	13   	(null)         	(null)    	<booleanExpression>      	no    	<booleanExpression>
----                     	13   	(null)         	(null)    	<booleanExpression>      	no    	<var>
0                        	13   	TK_NUM         	0         	<var>                    	yes   	(null)
